-4.000,-0.8636912
-3.900,-1.0554929
-3.800,-1.2927311
-3.700,-1.6006836
-3.600,-2.0264791
-3.500,-2.6696165
-3.400,-3.7833373
-3.300,-6.2599475
-3.200,-17.1016604
-3.100,24.0288416
-3.000,7.0152526
-2.900,4.0583527
-2.800,2.8127035
-2.700,2.1153830
-2.600,1.6622434
-2.500,1.3386481
-2.400,1.0916860
-2.300,0.8934845
-2.200,0.7278958
-2.100,0.5848478
-2.000,0.4576576
-1.900,0.3416354
-1.800,0.2333035
-1.700,0.1299275
-1.600,0.0292120
-1.500,-0.0709148
-1.400,-0.1724767
-1.300,-0.2776156
-1.200,-0.3887796
-1.100,-0.5089681
-1.000,-0.6420926
-0.900,-0.7935511
-0.800,-0.9712146
-0.700,-1.1872418
-0.600,-1.4616959
-0.500,-1.8304877
-0.400,-2.3652224
-0.300,-3.2327281
-0.200,-4.9331549
-0.100,-9.9666444
0.000,Infinity
0.100,9.9666444
0.200,4.9331549
0.300,3.2327281
0.400,2.3652224
0.500,1.8304877
0.600,1.4616959
0.700,1.1872418
0.800,0.9712146
0.900,0.7935511
1.000,0.6420926
1.100,0.5089681
1.200,0.3887796
1.300,0.2776156
1.400,0.1724767
1.500,0.0709148
1.600,-0.0292120
1.700,-0.1299275
1.800,-0.2333035
1.900,-0.3416354
2.000,-0.4576576
2.100,-0.5848478
2.200,-0.7278958
2.300,-0.8934845
2.400,-1.0916860
2.500,-1.3386481
2.600,-1.6622434
2.700,-2.1153830
2.800,-2.8127035
2.900,-4.0583527
3.000,-7.0152526
3.100,-24.0288416
3.200,17.1016604
3.300,6.2599475
3.400,3.7833373
3.500,2.6696165
3.600,2.0264791
3.700,1.6006836
3.800,1.2927311
3.900,1.0554929
